distance,speed,brake_pressure
29,3,2.0000000000000004
30,3,1.9999999999999998
31,3,2.0000000000000004
32,3,2.0
33,3,1.9999999999999998
34,3,2.0
35,3,2.0
36,3,2.0
37,3,1.9999999999999998
38,3,2.0
39,3,2.0000000000000004
40,3,1.9999999999999998
41,3,2.0000000000000004
42,3,2.0
43,3,1.9999999999999998
44,3,2.0000000000000004
45,3,2.0000000000000004
46,3,2.0000000000000004
47,3,1.9999999999999998
48,3,2.0
49,3,2.0000000000000004
50,3,1.9999999999999998
51,3,2.0000000000000004
52,3,2.0
53,3,1.9999999999999998
54,3,2.0
55,3,2.0
56,3,2.0
57,3,1.9999999999999998
58,3,2.0
59,3,2.0000000000000004
60,3,1.9999999999999998
61,3,2.0000000000000004
62,3,2.0
63,3,1.9999999999999998
64,3,2.0000000000000004
65,3,2.0000000000000004
66,3,2.0000000000000004
67,3,1.9999999999999998
68,3,2.0
69,3,2.0000000000000004
70,3,1.9999999999999998
71,3,2.0000000000000004
72,3,2.0
73,3,1.9999999999999998
74,3,2.0
75,3,2.0
76,3,2.0000000000000004
77,3,2.0
78,3,2.0
79,3,2.0
80,3,1.9999999999999998
81,3,2.0
82,3,2.0
83,3,2.0
84,3,2.0000000000000004
85,3,2.0
86,3,2.0000000000000004
87,3,2.0
88,3,2.0000000000000004
89,3,2.0
90,3,2.0
91,3,2.0000000000000004
92,3,2.0
93,3,2.0
94,3,2.0
95,3,2.0
96,3,2.0
0,4,6.000000000000001
1,4,6.000000000000001
2,4,6.000000000000001
3,4,6.0
4,4,6.000000000000001
5,4,6.0
6,4,6.000000000000001
7,4,6.0
8,4,6.0
9,4,5.999999999999999
10,4,6.0
11,4,5.376134453781513
12,4,4.879999999999999
13,4,4.4639999999999995
14,4,4.098285714285714
15,4,3.762237762237762
16,4,3.4400000000000004
17,4,3.1177622377622374
18,4,2.7817142857142856
19,4,2.416
20,4,1.9999999999999998
21,4,2.0000000000000004
22,4,2.0
23,4,1.9999999999999998
24,4,2.0000000000000004
25,4,2.0000000000000004
26,4,2.0000000000000004
27,4,1.9999999999999998
28,4,2.0
29,4,2.0000000000000004
30,4,1.9999999999999998
31,4,2.0000000000000004
32,4,2.0
33,4,1.9999999999999998
34,4,2.0
35,4,2.0
36,4,2.0
37,4,1.9999999999999998
38,4,2.0
39,4,2.0000000000000004
40,4,1.9999999999999998
41,4,2.0000000000000004
42,4,2.0
43,4,1.9999999999999998
44,4,2.0000000000000004
45,4,2.0000000000000004
46,4,2.0000000000000004
47,4,1.9999999999999998
48,4,2.0
49,4,2.0000000000000004
50,4,1.9999999999999998
51,4,2.0000000000000004
52,4,2.0
53,4,1.9999999999999998
54,4,2.0
55,4,2.0
56,4,2.0
57,4,1.9999999999999998
58,4,2.0
59,4,2.0000000000000004
60,4,1.9999999999999998
61,4,2.0000000000000004
62,4,2.0
63,4,1.9999999999999998
64,4,2.0000000000000004
65,4,2.0000000000000004
66,4,2.0000000000000004
67,4,1.9999999999999998
68,4,2.0
69,4,2.0000000000000004
70,4,1.9999999999999998
71,4,2.0000000000000004
72,4,2.0
73,4,1.9999999999999998
74,4,2.0
75,4,2.0
76,4,2.0000000000000004
77,4,2.0
78,4,2.0
79,4,2.0
80,4,1.9999999999999998
81,4,2.0
82,4,2.0
83,4,2.0
84,4,2.0000000000000004
85,4,2.0
86,4,2.0000000000000004
87,4,2.0
88,4,2.0000000000000004
89,4,2.0
90,4,2.0
91,4,2.0000000000000004
92,4,2.0
93,4,2.0
94,4,2.0
95,4,2.0
0,5,6.000000000000001
1,5,6.000000000000001
2,5,6.000000000000001
3,5,6.0
4,5,6.000000000000001
5,5,6.0
6,5,6.000000000000001
7,5,6.0
8,5,6.0
9,5,5.999999999999999
10,5,6.0
11,5,5.376134453781513
12,5,4.879999999999999
13,5,4.4639999999999995
14,5,4.098285714285714
15,5,3.762237762237762
16,5,3.4400000000000004
17,5,3.1177622377622374
18,5,2.7817142857142856
19,5,2.416
20,5,1.9999999999999998
21,5,2.0000000000000004
22,5,2.0
23,5,1.9999999999999998
24,5,2.0
25,5,2.0
26,5,2.0
27,5,1.9999999999999998
28,5,2.0
29,5,2.0000000000000004
30,5,1.9999999999999998
31,5,2.0000000000000004
32,5,2.0
33,5,1.9999999999999998
34,5,2.0
35,5,2.0
36,5,2.0
37,5,1.9999999999999998
38,5,2.0
39,5,2.0000000000000004
40,5,1.9999999999999998
41,5,2.0000000000000004
42,5,2.0
43,5,1.9999999999999998
44,5,2.0
45,5,2.0
46,5,2.0
47,5,1.9999999999999998
48,5,2.0
49,5,2.0000000000000004
50,5,1.9999999999999998
51,5,2.0000000000000004
52,5,2.0
53,5,1.9999999999999998
54,5,2.0
55,5,2.0
56,5,2.0
57,5,1.9999999999999998
58,5,2.0
59,5,2.0000000000000004
60,5,1.9999999999999998
61,5,2.0000000000000004
62,5,2.0
63,5,1.9999999999999998
64,5,2.0
65,5,2.0
66,5,2.0
67,5,1.9999999999999998
68,5,2.0
69,5,2.0000000000000004
70,5,1.9999999999999998
71,5,2.0000000000000004
72,5,2.0
73,5,1.9999999999999998
74,5,2.0
75,5,2.0
76,5,2.0000000000000004
77,5,2.0
78,5,2.0
79,5,2.0
80,5,1.9999999999999998
81,5,2.0
82,5,2.0
83,5,2.0
84,5,2.0000000000000004
85,5,2.0
86,5,2.0000000000000004
87,5,2.0
88,5,2.0000000000000004
89,5,2.0
90,5,2.0
91,5,2.0000000000000004
92,5,2.0
93,5,2.0
94,5,2.0
0,6,6.0
1,6,6.0
2,6,6.0
3,6,6.0
4,6,6.000000000000001
5,6,6.0
6,6,6.000000000000001
7,6,6.0
8,6,6.0
9,6,5.999999999999999
10,6,6.0
11,6,5.376134453781513
12,6,4.879999999999999
13,6,4.4639999999999995
14,6,4.098285714285714
15,6,3.762237762237762
16,6,3.4400000000000004
17,6,3.1177622377622374
18,6,2.7817142857142856
19,6,2.416
20,6,1.9999999999999998
21,6,2.0000000000000004
